Cargo,Local,Empresa,Descricao,Link
Cientista de Dados Sênior,"São Paulo, SP",HAYS,"Pacote de benefícios atrativo de mercado!Experiência comprovada como cientista de dados - com algoritimos de Machine Learning (Redes Neurais,K-NN, Naïve Bayes,…",https://tinyurl.com/y6fas3kz
Cientista de Dados,"São Paulo, SP",Lojas Riachuelo,"Manipular e extrair informações de bancos de dados.Você será responsável por criar hipóteses e apresentar soluções para os desafios de negócios, como por…",https://tinyurl.com/y4gccday
Cientista de Dados (remoto) Python,Brasil,GeekHunter,"Nossos times estão imersos em uma cultura de inovação que incentiva a colaboração e o livre fluxo de informações, utilizando ciclos de experimentação e gerando…",https://tinyurl.com/yyg35fhb
CIENTISTA DE DADOS,"Campinas, SP",Eldorado,"Através de abordagens de ciência de dados e aprendizado de máquina, você terá as seguintes responsabilidades:Construção de validação de hipóteses.",https://tinyurl.com/y572sj52
Cientista de Dados - Junior | Presencial ou Home Office,"São Paulo, SP",Ambev Tech,Conhecimento de bancos de dados: modelo de banco de dados relacional;Jornada de trabalho de 40 horas semanais;Então sua jornada é com a gente!,https://tinyurl.com/yyv83ns6
Cientista de Dados para People Analytics,Brasil,Red Pill RH,"Contribuir para tomada de decisão, baseada em dados gerando aumento de eficiência e produtividade via definição e monitoramento de KPIs, comparações com…",https://tinyurl.com/y6nykcoe
Machine Learning Engineer (Cientista de Dados),"São Paulo, SP",TAKING,Criar visualizações de dados que demonstrem insights e resultados para os times de negócio;Desenhar códigos de automação de soluções junto a Engenharia de…,https://tinyurl.com/y6j4pwyd
Cientista de Dados Pleno | Inteligência Artificial,"São Paulo, SP",PicPay,"O Cientista de Dados é uma pessoa que aplica ciência de dados no desenvolvimento, implantação e monitoramento para as soluções de Inteligência Artificial…",https://tinyurl.com/y6ox6qzk
Cientista de Dados,"Curitiba, PR",hilab,Somos uma empresa de soluções de tecnologia na área médica.Experiência desde o concebimento até a implantação de projetos de Data Science;,https://tinyurl.com/yxuqlbwc
Cientista de Dados Sênior,"São Paulo, SP",Cognizant,Understand program objectives and prepare the program charter.Identify benefits and success criteria of the program.Share the same with Stakeholders.,https://tinyurl.com/y4p46sgh
Cientista de Dados (João Pessoa),"João Pessoa, PB",Indra,Será responsável pela resolução de problemas de negócios usando técnicas orientadas por dados;Graduação em curso de nível superior na área de Tecnologia da…,https://tinyurl.com/y6bu6jk8
Cientista de Dados,"Brasília, DF",CONNECT DF,"Como cientista de dados já experiente, vocês será peça importante no desenvolvimento de modelos analíticos inovadores cumprindo as tarefas de :",https://tinyurl.com/y5y8fxof
CIENTISTA DE DADOS - ANÁLISE DE MÉTRICAS SOBRE USO DE SMARTP...,"Manaus, AM",Eldorado,Atuar na análise estatística de dados coletados automaticamente de smartphones;Apoio na criação e manutenção de ferramentas para apresentação de dados;,https://tinyurl.com/y53cnwl4
Cientista de Dados,"Betim, MG",MSA Recursos Humanos,"Desejável conhecimento de SAP RH, Banco de dados e Metodologias ágeis;Experiência com atualização e análise crítica de indicadores de desempenho de headcount e…",https://tinyurl.com/y3g63gdb
Ciêntista de Dados - Centro,"Florianópolis, SC",Wide Pay,"Descobrir e avaliar a relevância de novas fonte de dados, extrair insights através de metodologias de mineração de dados.",https://tinyurl.com/y4tehrkl
Cientista de Dados Júnior | Inteligência Artificial,"São Paulo, SP",PicPay,"O Cientista de Dados é uma pessoa que aplica ciência de dados no desenvolvimento, implantação e monitoramento para as soluções de Inteligência Artificial…",https://tinyurl.com/y6reck5g
Estatístico (Cientista de Dados),"São Paulo, SP",TAKING,Criar visualizações de dados que demonstrem insights e resultados para os times de negócio;Desenhar códigos de automação de soluções junto a Engenharia de…,https://tinyurl.com/yxg2rvox
Cientista de Dados Pleno/Sênior,"Campinas, SP",Page Personnel,"Conhecer ferramenta de visualização de dados (Ex: PowerBI);Conhecimento técnico de infraestruturas de dados (bancos de dados relacionais, não relacionais, etc.…",https://tinyurl.com/yyskb9fg
Cientista de Dados Python Pleno (Remoto),Brasil,GeekHunter,"Nossos times estão imersos em uma cultura de inovação que incentiva a colaboração e o livre fluxo de informações, utilizando ciclos de experimentação e gerando…",https://tinyurl.com/yyvguf6y
Cientista de Dados Sênior | Inteligência Artificial,"São Paulo, SP",PicPay,"O Cientista de Dados é uma pessoa que aplica ciência de dados no desenvolvimento, implantação e monitoramento para as soluções de Inteligência Artificial…",https://tinyurl.com/y2ur9cjy
Cientista de Dados para Modelagem Financeira,"São Paulo, SP",Acordo Certo,"Usar o forte conhecimento estatístico e ciência de dados para analisar, questionar, criar modelos estatísticos/financeiros para precificar potenciais…",https://tinyurl.com/yxkz4g55
Cientista de Dados (Pleno),"Campinas, SP",Plus-IT Consulting,"Atuação no desenvolvimento de uma solução para extração, integração e análise de dados e imagens na área de saúde;Experiência em análise e mineração de dados;",https://tinyurl.com/y59xp23o
Cientista de dados,"Belo Horizonte, MG",YandexData,"Participar de projetos de ciências de dados com objetivo de construção de modelos preditivos.Resolver problemas e identificar oportunidades por meio de dados,…",https://tinyurl.com/y64hj6rl
Cientista de Dados Júnior,"São Paulo, SP",TOTVS,"Necessário vivência na manipulação dos seguintes itens: modelo multidimensional (OLAP), data warehouse, data mart, mineração de dados, banco de dados…",https://tinyurl.com/y5lxx2zm
CIENTISTA DE DADOS SR,"São Paulo, SP",Itaú Unibanco,Nosso time é essencialmente analítico e composto por analistas de modelagem e cientistas de dados.Aplicamos técnicas de Advanced Analytics para produzir…,https://tinyurl.com/yykwvcco
Analista Cientista de Dados Sr.,"São Paulo, SP",PagSeguro PagBank,Conhecimento de ferramentas de visualização de dados.Experiência com processos de ETL de dados.Trabalhar em conjunto com o engenheiro de dados e arquitetos de…,https://tinyurl.com/yxvsp3xd
Cientista de Dados pleno (remoto) Python,Brasil,GeekHunter,"Estruturação de ambientes para consumo de dados.Implantação, manutenção e otimização de pipelines de mineração de dados em escala.O que você irá fazer?",https://tinyurl.com/yyj9xeoy
